video_id,brand_name,product_name,recommendation_score,reason_for_selection,target_audience,key_strengths,critical_weaknesses,comparison_evidence,trigger_sentence,is_ad,sold_at_oliveyoung,status,source_title,source_channel
NWhoFXeB04E,힌스,힌스 커버 마스터 핑크 쿠션,3,요청이 많았던 신상 쿠션 리뷰,"커버력 높은 세미매트 선호, 사용하기 편한 매트 제형 선호","커버력 높음, 제형 얇음, 밀착력 좋음","덧바르면 들뜸/끼임, 모공 커버 약간 아쉬움","힌스 세컨 스킨 쿠션, 바닐라코 핑크 에센스 쿠션, 브디 하이 커버 쿠션, 어바우톤 쿠션, 에스테로더 파운데이션",요 제품은 아무래도 픽싱이 좀 확실하게 되는 타입인만큼 한 번만 딱 터치를 하고 더 이상의 터치는 안 하는게 좀 더 깨끗하게 발릴 것 같아요.,N,Y,정상,"겁나..현실적인..😲신상 쿠션 8시간 날것의 리뷰🔥 (투슬래시포, 어뮤즈, 힌스, 더샘)",뷰드름 유튜버 인씨
NWhoFXeB04E,투슬래시포,투슬래시포 엔젤릭 새틴 쿠션,1,개인적으로 궁금했던 신상 쿠션 리뷰,"깔끔한 밀착력과 픽싱력 선호, 장각질/솜털/모공/흉 없는 피부","빠른 밀착력, 빠른 픽싱력, 가벼운 제형감","들뜸/끼임 현상 심함, 모공/흉 커버 아쉬움",없음,그래서요 제품은 장각질이나 그런 솜털 그다음에 모공이랑 흉이 있으신 분들은 조금 사용하기 어렵지 않으실까라는 생각이 드네요.,N,Y,정상,"겁나..현실적인..😲신상 쿠션 8시간 날것의 리뷰🔥 (투슬래시포, 어뮤즈, 힌스, 더샘)",뷰드름 유튜버 인씨
NWhoFXeB04E,어뮤즈,어뮤즈 에어리 포어 커버 쿠션,4,요청이 가장 많았던 신상 쿠션 리뷰,"보송한 표현 선호, 번들거림 잘 잡고 싶은 지성 피부, 여름철","압도적인 모공 커버, 유분 안 나옴, 붉은기/푸른기 커버 잘 됨","수정화장 시 들뜸/각질 부각, 스킨케어 짱짱하게 필요","에뛰드 클라우드 쿠션 모공 커버, 투클포스쿨 쿠션, 어뮤즈 세라믹 쿠션",근데 비탐지도요 제품 바를 때 꿀팁이 하나 있어요. 이렇게 그냥 바로 두들이면 안 되는 거 같아. 그렇게 되면 어떻게 되냐면 모공이 요런 식으로 드러나요. 구멍이 뽕뽕뽕. 그래서 얘는 처음에 바를 때 쓸면서 넣어 줘야 돼. 이렇게 약간 구멍에 끼더라도 먼저 넣어 주고 그다음에 두들겨 줘야지 그 모은 구멍이 뽕뽕 뚫려 보이는 현상이 없네요.,N,Y,정상,"겁나..현실적인..😲신상 쿠션 8시간 날것의 리뷰🔥 (투슬래시포, 어뮤즈, 힌스, 더샘)",뷰드름 유튜버 인씨
NWhoFXeB04E,더샘,더샘 스킨 퍼펙션 글루타치온 토닝 쿠션,1,따끈따끈한 신상 쿠션 리뷰,없음,"은은한 광채, 글루타치온 성분 함유 (효능 기대)","양 조절 어려움, 밀착력 약함, 들뜸/끼임/각질 부각, 코 모공/블랙헤드 커버 아쉬움",없음,다른 쿠션들보다 오히려 터치를 덜 했음에도 불구하고 요런 현상들이 보여 가지고 좀 들는거나 허역게 끼이는 거 별로 안 좋아한다 하시는 분들은 조금 사용하기 어렵다고 느끼실 거 같아요.,N,Y,정상,"겁나..현실적인..😲신상 쿠션 8시간 날것의 리뷰🔥 (투슬래시포, 어뮤즈, 힌스, 더샘)",뷰드름 유튜버 인씨
NWc_qUtv9Ac,투슬래시포,투슬래시포 엔젤릭 새틴 쿠션,1,핫해서 기대하고 구매,"건성, 겨울철","예쁜 케이스, 홍조/붉은기 커버, 예쁜 피부 표현","더럽게 무너짐, 수습 불가능","이사배 피부 타입 언급, 파넬/힌스 쿠션과 무너짐 비교",써도 한 겨울쯤에 쓸 수 있을 것 같아요.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,지베르니,지베르니 밀착 커버 쿠션,4,파데 만족 후 쿠션 기대,"수부지, 지성","가볍고 밀착력 좋음, 커버력 좋음, 예쁜 무너짐",양 조절 어려움,없음,무너지긴 무너져요. 아예 안 무너진다고는 안 할게요. 근데 예쁘게 무너진다.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,비디비치,비디비치 블랙 퍼펙션 커버 핏 쿠션,4,인스타에서 핫해서 궁금해서 구매,지성,"예쁜 피부 표현, 좋은 커버력, 예쁜 무너짐",없음,지베르니 쿠션과 반반 비교,없음,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,정샘물,정샘물 에센셜 스킨 누더 쿠션,1,구독자 요청으로 비교,피부 좋은 건성,"얇고 샤르르한 발림성, 고급진 피부 표현","낮은 커버력, 지성에게 부적합","파넬 쿠션과 광 입자 비교, 투쿨 쿠션과 컬러 비교",제일 밝은 컬러를 21호가 쓸 정도니까 그것보다 피부가 더 밝으신 분들은 못 쓸 것 같습니다.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,파넬,파넬 시카마누 세럼쿠션,5,애정템으로 꾸준히 사용,"지성, 사계절, 촉촉한 피부 표현 선호","예쁜 광, 사계절 사용 가능, 예쁜 무너짐",지속력이 아주 좋지는 않음,정샘물 쿠션과 비교,저는 지성이기 때문에 거의 모든 쿠션에서 피니시 파우더를 써 주기 때문에 웬만한 경우에서나 진짜 한 여름 아니면 요거 안 무너지고 잘 쓰고 있어요.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,힌스,힌스 세컨 스킨 글로우 쿠션,5,구독자 성공 후기 많음,"지성, 수부지, 사계절","화사한 컬러, 좋은 커버력, 좋은 지속력",없음,헤라 블랙 쿠션과 비교,없음,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,네이밍,네이밍 제로 그래비티 커버 업 쿠션 ,4,구독자 질문 많음,커버력 중시 지성,"예쁜 피부 표현, 좋은 지속력, 커버력 레이어링 가능",없음,"힌스 핑크 쿠션, 파넬 시카마누 쿠션과 비교",없음,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,투쿨포스쿨,투쿨포스쿨 픽싱 커버 핏 쿠션,4,구독자 요청,지성,"좋은 커버력, 부담 없는 피부 표현, 빠른 픽싱",컬러가 밝게 나옴,없음,웬만하면 한 반 톤 정도 낮춰서 쓰시는 걸 추천드려요.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
NWc_qUtv9Ac,어바웃톤,어바웃톤 스킨 레이어 핏 쿠션,4,파데 만족 후 쿠션 기대,"지성, 가을, 커버력 중시","좋은 커버력, 예쁜 피부 표현, 좋은 퍼프","살짝 두꺼운 느낌, 여름철 무너짐",어바웃톤 파데와 무너짐 비교,제가 요걸 여름에 썼을 때는 살짝 무너짐이 조금 있다고 느꼈어요. 왜냐면 어바운톤 파데가 무너짐이 정말 없는 편이어 가지고 그거랑 비교하니까 아 얜 좀 무너짐이 있다라고 생각을 해서 여름에 손이 잘 안 갔는데 좀 선선해지고 나서 쓰고 보니까 아 되게 괜찮더라고요.,N,Y,정상,광고❌ 팩폭주의🔥가을맞이 지성피부 쿠션 9종 비교&추천 [수부지/지속력/여드름피부/여드름커버/올영쿠션],조말랭Jomalraeng
ISTufF8OGDQ,헤라,헤라 리플렉션 스킨 글로우 쿠션,3,21호 뉴추럴 톤의 기준점 컬러 비교,"내추럴한 피부 표현 선호, 붉거나 노랗지 않은 중간 톤 피부","붉지도 노랗지도 않은 중간 톤, 내추럴한 피부 표현, 피부에 스며들듯 자연스러움",없음,"21N 발랐다고 해서 제 피부가 확 환해 보이지 않죠. 그 되게 스며들듯이 내 피부랑 거의 비슷해지거든요.,약간 21N의 뉴추럴의 기본 정도의 컬러다. 기준점 정도 될 정도로 그런 컬러다.,정샘물보다는 조금 더 노란기가 많이 돌죠.,에스아가 좀 더 더 화사하게 그리고 좀 좀 더 좀 짱짱하게 그렇게 붉은기를 잡아주면서 아이보리 빛으로 이렇게 되어 있죠. 해라는 조금 더 자연스러운 느낌.",없음,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
ISTufF8OGDQ,에스쁘아,에스쁘아 비벨벳 커버쿠션,5,21호 중 가장 화사하고 밝은 아이보리 계열 대표,"노란기가 돌지만 화사한 21호를 원하는 사람, 피부가 밝아 보이는 것을 선호, 붉은기 커버 원하는 사람","가장 화사하고 밝음, 아이보리 컬러, 붉은기 잘 잡음",다른 브랜드 19호 정도의 밝기,"가장 아이보리 컬러에 가까워요. 그리고 이 중에서 어때요? 느낌이 제일 밝죠?,지베르니랑 비교해 봤을 때 확실히 조금은 어두운 느낌 아니면 좀 더 내추럴하다 그렇게 표현할 수 있겠죠.,이 S4 아이보이라고 하는 컬러는 굉장히 화사하잖아요. 이거는 사실 다른 브랜드에 거의 한 19호 정도 되는 느낌의 그런 21호예요.,네이밍의 19하고의 밝기가 거의 비슷해요, 여러분.,에스아가 좀 더 더 화사하게 그리고 좀 좀 더 좀 짱짱하게 그렇게 붉은기를 잡아주면서 아이보리 빛으로 이렇게 되어 있죠.",노란기가 조금 도는데 나 좀 화사한 그런 21호가 되고 싶어. 피부가 좀 밝아 보이는게 내가 예뻐 보여. 그러신 분들은 에스퍼야 21 아이보리 요걸 선택하면 되는 거죠.,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
ISTufF8OGDQ,지베르니,지베르니 밀착 커버 쿠션,3,원베이스 뉴트럴 톤의 21호 대표,"내추럴한 피부 표현 선호, 따뜻한 느낌과 살짝 붉은기 선호","적당한 스킨톤, 내추럴함, 따뜻한 느낌 한 스푼, 원베이스인데도 붉은기 살짝 돎",없음,"S4아랑 비교해 봤을 때 확실히 조금은 어두운 느낌 아니면 좀 더 내추럴하다 그렇게 표현할 수 있겠죠.,지베르니가 조금 붉은기가 아주 조금 들어간 거 같고 요거는 오히려 그냥 조금 더 뉴추럴과 옐로우에 더 가까운 그런 느낌이에요.,1번 화사, 2번 화사, 그다음에 3번 화사가 지베른이에요.",없음,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
ISTufF8OGDQ,비디비치,비디비치 누드 퍼펙션 스킨 핏 쿠션,4,아이보리 빛 상아빛 컬러의 21호 대표,화사하면서 자연스러운 21호를 원하는 사람,"아이보리 빛 상아빛, 화사해 보임, 뉴트럴과 옐로우에 가까움",없음,"지베르니가 조금 붉은기가 아주 조금 들어간 거 같고 요거는 오히려 그냥 조금 더 뉴추럴과 옐로우에 더 가까운 그런 느낌이에요.,그 중에서도 조금 더 화사한게요 b디예요. 그러니까 1번 화사, 2번 화사, 그다음에 3번 화사가 지베른이에요.,조금 요게 비드비치가 조금 더 화사한 느낌. 정세물은 조금 더 내추럴한 컬러에 더 가까운 느낌.",나는 조금만 화사해지면서 좀 자연스러운 느낌의 그런 21호로 할래 그럴 경우에요 두 개가 남잖아요. 그 중에서도 조금 더 화사한게요 b디예요.,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
ISTufF8OGDQ,정샘물,정샘물 에센셜 스킨 누더 쿠션,4,옐로우 베이스의 21호 대표,"노란기가 많은 피부, 붉은기 커버를 원하는 사람, 30대 중반 이상","노란기가 많이 느껴짐, 노란기 많은 피부에 자연스러움, 붉은기 커버 잘 됨",너무 많이 바르면 화장이 두꺼워 보일 수 있음,"다른 컬러들에 비해서 옐로우감, 노란기가 조금 많이 느껴지죠.,약간 해라보다는 조금 더 노란기가 많이 돌죠.,조금 요게 비드비치가 조금 더 화사한 느낌. 정세물은 조금 더 내추럴한 컬러에 더 가까운 느낌.",요게 조금 옐로우 베이스여서 너무 많이 바르면 좀 화장이 두꺼워 보일 수 있어서 제가 일부러 좀 얇게 바를게요.,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
ISTufF8OGDQ,티르티르,티르티르 마스크 핏 AI 필터 쿠션,3,21호 중 컬러 존재감이 강한 제품 대표,"내추럴한 표현 선호, 옐로우빛 선호 (단, 양 조절 필요)","내추럴한 컬러, 컬러 존재감 강함",두껍게 바르면 노란 빛이 많이 돌 수 있음,"오늘 보여 드린 21호 중에서 가장 뭔가 컬러로서의 존재감이 있죠.,정세물보다는 조금 더 더 밝은 느낌. 노란기가 조금 더 빠진 느낌.,티레티르 같은 경우는 약간 옐로우빛이 좀 많이 돌아요.",나는 티르티르 제용 좋아서 이거 쓰고 싶은데 하시는 분들은 호스를 좀 더 밝은 컬러를 선택한다든가 아니면 쿨이를 조금 넣어 본다든가 그런 식으로 옆으로 아니면은 위로 해서 포스를 좀 바꿔 보시면 좋을 거예요.,N,Y,정상,"딱 맞는 ""21호"" 쿠션 고르는 법‼️ 옐로베이스 vs 핑크베이스 차이 (정샘물,헤라,에스쁘아,비디비치.지베르니,티르티르)",Hong's MakeuPlay 홍이모
YbQYszGoeWk,에스쁘아,에스쁘아 비벨벳 커버쿠션,2,꾸준히 인기 많은 스테디셀러 쿠션 재리뷰,"건성 중 보송한 피부 표현 선호, 피부 각질/잡티 심하지 않은 분","모공 커버 잘 됨, 요철 부각 없이 커버, 밀착력 높음","다크닝 심함, 솜털 부각, 풀메이크업 시 모공 부각",없음,대신 밀어서 수정하면 좀 뜯겨 나가듯이 돼 가지고 복고 불가니까 수정화장은 꼭 필요할 때만 그냥 살살 누르기만 해 주세요.,N,Y,정상,💸𝐀𝐥𝐥내돈내산/4𝗸💸  올리브영 랭킹 쿠션 다~~ 모아서 비교 & 팩폭 리뷰‼️‼️ [커버력/지속력/다크닝/수정화장/풀메이크업 등등],10시엔 디붕
YbQYszGoeWk,헤라,헤라 블랙 쿠션 ,4,"작년 여름 최애 쿠션, 백화점 브랜드 쿠션 재검증",모든 피부 타입 (스킨케어 조절 필요),"지속력 대박, 커버력 좋음, 피부에 착붙음",시간 지나면서 색감 변화 심함,"백화점 브랜드거다 보니까 가격대가 올형 쿠션들보다는 조금 있긴 한데 확실히 돈값을 해요., 피부 결표는 헤라가 더 예뻐요.",추천 피부 타입은 유분감이 막 나오거나 아주 건조한 쿠션이 아니다 보니까 모든 피부 타입이 다 잘 쓸 수 있을 것 같은데 피부 타입에 따라서 스킨케어만 잘 조절해서 써 주시면 될 거 같아요.,N,Y,정상,💸𝐀𝐥𝐥내돈내산/4𝗸💸  올리브영 랭킹 쿠션 다~~ 모아서 비교 & 팩폭 리뷰‼️‼️ [커버력/지속력/다크닝/수정화장/풀메이크업 등등],10시엔 디붕
YbQYszGoeWk,어바웃톤,어바웃톤 스킨 레이어 핏 쿠션,4,파운데이션을 그대로 담은 쿠션 재검증,"극건성/극지성 제외한 피부, 건성은 여름에 스킨케어 탄탄히, 지성은 프라이머/파우더 처리","커버력 높음, 다크닝 없음, 피부 매끈해 보임","밀착력 낮음, 건조함","피부 결표는 헤라가 더 예뻐요., 이 가격에 나올 수 있는 최상의 퀄리티 느낌.",그렇다고 이게 유분간이 막 꽉 잡히는 매트까지는 또 아니다 보니까 추천 타입은 극건성과 극지성을 제외한 피부고요. 건성 피부분들이 쓰신다면 스킨케어 꼭 탄탄히 하고 써 주시고요. 지성피분들이 쓰신다면 뭐 프라이머나 파우더 처리 꼭 하시는 거 추천드릴게요.,N,Y,정상,💸𝐀𝐥𝐥내돈내산/4𝗸💸  올리브영 랭킹 쿠션 다~~ 모아서 비교 & 팩폭 리뷰‼️‼️ [커버력/지속력/다크닝/수정화장/풀메이크업 등등],10시엔 디붕
YbQYszGoeWk,바닐라코,바닐라코 커버리셔스 얼티밋 화이트 쿠션,1,몇 년째 인기 있는 쿠션 재검증 (과거에 건조해서 비추했던 제품),커버력 높은 쿠션을 찾는 지성 피부,"커버력 높음, 픽싱력 좋음, 잘 안 지워짐","건조함, 다크닝 심함",오늘 가지고 온 쿠션 중에서 픽싱이 가장 잘되는 쿠션이잖아요.,추천드리는 피부 타입은 커버력이 높은 쿠션을 찾는 지성 피부분들 추천드리고요. 피부가 좀 많이 건조하시거나 난 다크닝은 못 차는 분들은 테스하셔도 괜찮을 것 같아요.,N,Y,정상,💸𝐀𝐥𝐥내돈내산/4𝗸💸  올리브영 랭킹 쿠션 다~~ 모아서 비교 & 팩폭 리뷰‼️‼️ [커버력/지속력/다크닝/수정화장/풀메이크업 등등],10시엔 디붕
YbQYszGoeWk,VDL,VDL 커버스테인 퍼펙팅 쿠션,2,작년 여름 두 번째 최애 쿠션 재검증,"피부결 잘 정돈된 분, 스킨케어 잘하는 분 (각질/매끈하지 못한 피부는 피해야 함)","밝은 컬러, 잘 바르면 지속력 좋음, 모공 커버 잘 됨","바르기 어려움, 수정 화장 불가, 피부 상태 많이 탐","VDL 쿠션 두 가지도 거의 비슷하게 높았어요., 검정색은 한 85% 정도 지속된 느낌이라면 얘는 진짜 한 96%는 지속돼 있어요.",그러니까 이 쿠션을 바르시는 날은 얼굴에 뭐가 묻었다 수정화장 절대 생각하지 마시고 오늘 한정 나의 다투다 생각하시고 함께이고 가세요.,N,Y,정상,💸𝐀𝐥𝐥내돈내산/4𝗸💸  올리브영 랭킹 쿠션 다~~ 모아서 비교 & 팩폭 리뷰‼️‼️ [커버력/지속력/다크닝/수정화장/풀메이크업 등등],10시엔 디붕
